candid_name	candid_surname	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
Karel	Dolansk˝	1994	1	ObËansk· demokratick· strana	6		35	ODS	BEZPP	90	7.85	4		1998	1	ObËansk· demokratick· strana	4		39	ODS	NEZ	57	8.32	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	TOP 09	5		51	TOP 09	BEZPP	97	10,07	1	-
Kate¯ina	»umrov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	5	SNK - MalenickÈ ûeny	9		24	NK	BEZPP	3	2.4	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ladislav	K¯Ìû	1994	4	Komunistick· str.»ech a Moravy	4		43	KS»M	KS»M	67	9.76	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2002	2	Komunistick· str.»ech a Moravy	4		51	KS»M	KS»M	36	7.94	4		2006	2	Komunistick· str.»ech a Moravy	4		55	KS»M	BEZPP	41	11,51	4	-	2010	1	Komunistick· str.»ech a Moravy	4		59	KS»M	BEZPP	23	5,94	4	-
Lenka	Frnochov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	4	Sdruû.nez·v.kand. Malenice	5		35	NK	BEZPP	34	8,67	7	-
Lenka	Mr·zov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	5	ObËansk· demokratick· strana	7		30	ODS	BEZPP	9	2,16	7	-
Luboö	är·mek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	ObËansk· demokratick· strana	9		38	ODS	BEZPP	71	8,13	6	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ludmila	Marouökov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	ObËansk· demokratick· strana	5		22	ODS	BEZPP	68	7,78	3	-	2010	4	Sdruû.nez·v.kand. Malenice	4		26	NK	BEZPP	43	10,96	6	-
Marcela	RolnÌkov·	1994	1	ObËansk· demokratick· strana	4		28	ODS	BEZPP	68	5.93	3		1998	1	ObËansk· demokratick· strana	7		32	ODS	NEZ	34	4.96	5		2002	4	ObËansk· demokratick· strana	6		36	ODS	BEZPP	65	10.18	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	TOP 09	4		44	TOP 09	BEZPP	138	14,33	2	*
Marek	ävehla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruû.nez·v.kand.-mÌst.celkem	8		21	NK	NEZ	11	5.67	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Marie	Frnochov·	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	TOP 09	7		57	TOP 09	BEZPP	74	7,68	3	-
