"candid_surname"	"candid_name"	"term_1994"	"list_id_1994"	"list_name_1994"	"candid_num_1994"	"candid_title_1994"	"candid_age_1994"	"party_abb_1994"	"aff_abb_1994"	"votes_num_1994"	"votes_share_1994"	"candid_order_1994"	"candid_seat_1994"	"term_1998"	"list_id_1998"	"list_name_1998"	"candid_num_1998"	"candid_title_1998"	"candid_age_1998"	"party_abb_1998"	"aff_abb_1998"	"votes_num_1998"	"votes_share_1998"	"candid_order_1998"	"candid_seat_1998"	"term_2002"	"list_id_2002"	"list_name_2002"	"candid_num_2002"	"candid_title_2002"	"candid_age_2002"	"party_abb_2002"	"aff_abb_2002"	"votes_num_2002"	"votes_share_2002"	"candid_order_2002"	"candid_seat_2002"	"NA"	"term_2006"	"list_id_2006"	"list_name_2006"	"candid_num_2006"	"candid_title_2006"	"candid_age_2006"	"party_abb_2006"	"aff_abb_2006"	"votes_num_2006"	"votes_share_2006"	"candid_order_2006"	"candid_seat_2006"	"term_2010"	"list_id_2010"	"list_name_2010"	"candid_num_2010"	"candid_title_2010"	"candid_age_2010"	"party_abb_2010"	"aff_abb_2010"	"votes_num_2010"	"votes_share_2010"	"candid_order_2010"	"candid_seat_2010"
"55"	"Èermáková"	"Vìra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	3	""	53	"NK"	"BEZPP"	491	"11,81"	"3"	"*"	2010	2	"TRADICE-BUDOUCNOST"	1	""	57	"STAN"	"BEZPP"	537	"15,07"	1	"*"
"56"	"Farny"	"Lenka"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	9	""	34	"NK"	"BEZPP"	393	"9,46"	"3"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	"Fryè"	"Václav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	7	""	44	"NK"	"BEZPP"	205	"10,08"	"4"	"-"	2010	1	"\"Naše Velké Pøílepy o.s.\""	6	""	48	"NK"	"BEZPP"	241	"11,45"	4	"-"
"58"	"Gomola"	"Petr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	8	""	33	"NK"	"ODS"	424	"10,2"	"2"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"Hájek"	"Zdenìk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	8	""	39	"NK"	"BEZPP"	175	"8,6"	"5"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Kapsa"	"Richard"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	1	"Ing."	31	"NK"	"BEZPP"	510	"12,27"	"1"	"*"	2010	3	"PRO Pøílepy"	2	"Ing."	35	"NK"	"BEZPP"	365	"12,32"	1	"*"
"61"	"Kubovec"	"Karel"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	4	"Ing."	40	"NK"	"BEZPP"	251	"12,34"	"3"	"*"	2010	1	"\"Naše Velké Pøílepy o.s.\""	1	"Ing."	44	"NK"	"BEZPP"	272	"12,93"	1	"*"
"62"	"Kuèerová"	"Jaroslava"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	9	""	33	"NK"	"BEZPP"	188	"9,24"	"6"	"-"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"Morysek"	"Petr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	4	"Ing."	36	"NK"	"BEZPP"	458	"11,02"	"4"	"*"	2010	3	"PRO Pøílepy"	1	"Ing."	40	"NK"	"BEZPP"	351	"11,85"	2	"*"
"64"	"Palkosková"	"Marie"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	6	"Ing."	48	"NK"	"BEZPP"	463	"11,14"	"6"	"*"	2010	3	"PRO Pøílepy"	5	"Ing."	52	"NK"	"BEZPP"	337	"11,38"	2	"-"
"65"	"Smidžárová"	"Libuše"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	2	""	40	"NK"	"BEZPP"	276	"13,57"	"1"	"*"	2010	2	"TRADICE-BUDOUCNOST"	2	"Mgr."	43	"STAN"	"BEZPP"	416	"11,67"	2	"*"
"66"	"Svítek"	"Jiøí"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	2	"PhDr."	48	"NK"	"BEZPP"	488	"11,74"	"2"	"*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	"Štengl"	"Michal"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	2	"Sdruž.nezáv.kand.: PRO Pøílepy"	5	"Ing."	28	"NK"	"BEZPP"	462	"11,12"	"5"	"*"	2010	3	"PRO Pøílepy"	3	"Ing."	32	"NK"	"BEZPP"	341	"11,51"	3	"*"
"68"	"Vojtìchová"	"Iveta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	"Sdruž.nez.kand.Velké Pøílepy I"	5	""	37	"NK"	"BEZPP"	214	"10,52"	"2"	"-"	2010	1	"\"Naše Velké Pøílepy o.s.\""	2	""	41	"NK"	"BEZPP"	233	"11,07"	1	"-"
"69"	"Bébr"	"Petr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	"PRO Pøílepy"	6	"Ing."	30	"NK"	"BEZPP"	344	"11,61"	3	"-"
"70"	"Beèka"	"David"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	5	"Ing. Ph.D."	35	"NK"	"BEZPP"	419	"11,75"	1	"-"
"71"	"Handl"	"Pavel"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	"PRO Pøílepy"	4	"Ing."	38	"NK"	"BEZPP"	320	"10,8"	1	"-"
"72"	"Hošek"	"Tomáš"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	3	"Ing."	31	"NK"	"BEZPP"	375	"10,52"	3	"*"
"73"	"Høebaèka"	"Marcel"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	"\"Naše Velké Pøílepy o.s.\""	8	""	37	"NK"	"BEZPP"	218	"10,36"	6	"-"
"74"	"Chytka"	"Miroslav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	9	""	35	"NK"	"BEZPP"	341	"9,57"	5	"-"
"75"	"Kavková"	"Iveta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	"\"Naše Velké Pøílepy o.s.\""	9	""	41	"NK"	"BEZPP"	202	"9,6"	7	"-"
"76"	"Kubová"	"Gabriela"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	8	""	49	"STAN"	"BEZPP"	326	"9,14"	4	"-"
"77"	"Mihalka"	"Michal"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	"PRO Pøílepy"	7	""	23	"NK"	"BEZPP"	323	"10,9"	4	"-"
"78"	"Nedvìd"	"Martin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	"\"Naše Velké Pøílepy o.s.\""	5	""	37	"NK"	"BEZPP"	212	"10,08"	3	"-"
"79"	"Pokorný"	"Karel"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	"\"Naše Velké Pøílepy o.s.\""	4	"Ing."	45	"NK"	"BEZPP"	222	"10,55"	2	"-"
"80"	"Poštolka"	"Jaroslav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	7	""	51	"STAN"	"BEZPP"	355	"9,96"	3	"-"
"81"	"Šimková"	"Jitka"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	4	"PhDr."	60	"STAN"	"BEZPP"	405	"11,36"	4	"*"
"82"	"Žák"	"Stanislav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	2	"TRADICE-BUDOUCNOST"	6	"ThMgr. Ph.D."	61	"NK"	"ODS"	389	"10,91"	2	"-"
"83"	"Ženíšek"	"Josef"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	3	"PRO Pøílepy"	9	""	70	"NK"	"BEZPP"	274	"9,25"	6	"-"
