	candid_surname	candid_name	term_1994	list_id_1994	list_name_1994	candid_num_1994	candid_title_1994	candid_age_1994	party_abb_1994	aff_abb_1994	votes_num_1994	votes_share_1994	candid_order_1994	candid_seat_1994	term_1998	list_id_1998	list_name_1998	candid_num_1998	candid_title_1998	candid_age_1998	party_abb_1998	aff_abb_1998	votes_num_1998	votes_share_1998	candid_order_1998	candid_seat_1998	term_2002	list_id_2002	list_name_2002	candid_num_2002	candid_title_2002	candid_age_2002	party_abb_2002	aff_abb_2002	votes_num_2002	votes_share_2002	candid_order_2002	candid_seat_2002	term_2006	list_id_2006	list_name_2006	candid_num_2006	candid_title_2006	candid_age_2006	party_abb_2006	aff_abb_2006	votes_num_2006	votes_share_2006	candid_order_2006	candid_seat_2006	term_2010	list_id_2010	list_name_2010	candid_num_2010	candid_title_2010	candid_age_2010	party_abb_2010	aff_abb_2010	votes_num_2010	votes_share_2010	candid_order_2010	candid_seat_2010
37	Molèan	Filip	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	6		28	NK	BEZPP	38	10,46	6	*
30	Müller	Michal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	6		30	NK	BEZPP	15	8,92	4	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	Navara	Jaroslav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	7		31	NK	BEZPP	43	11,84	7	*
5	Obešlo	Jaroslav	1994	1	Sdružení nezávislých kandidátù	7	41	NK	BEZPP	44	16.17	2	*	NA	1998	1	Sdruž.nezáv.kand.-míst.celkem	2	NA	45	NK	BEZPP	18	20.45	2	*	2006	1	Sdruž.nezáv.kand. Doubice 2006	5		49	NK	BEZPP	29	9.69	5	*	2006	4	Pro Doubici	4		53	NK	BEZPP	6	8,69	3	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	Pitner	Miloslav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	6		37	NK	BEZPP	32	13,16	3	-	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	8		40	NK	BEZPP	14	3,85	1	-
12	Rezek	David	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	4	Pro Doubici	7		49	NK	BEZPP	4	5,79	6	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	Rezek	Karel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	Sdruž.nezáv.kand.-míst.celkem	1	NA	47	NK	BEZPP	31	35.22	1	*	2006	1	Sdruž.nezáv.kand. Doubice 2006	3		51	NK	BEZPP	42	14.4	2	*	2006	4	Pro Doubici	1		55	NK	BEZPP	26	37,68	1	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	Rezek	Petr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	Sdruž.nezáv.kand.-míst.celkem	3	NA	51	NK	BEZPP	11	12.5	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	Sakaloš	Josef	1994	1	Sdružení nezávislých kandidátù	2	52	NK	BEZPP	34	12.5	4	*	NA	1998	3	Sdruž.nezáv.kand.-míst.celkem	2	NA	56	NK	BEZPP	17	11.11	1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	Schulz	Martin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	1		52	NK	BEZPP	35	20,83	2	*	2010	1	Sdruž.nezáv.kand.-Doubice 2014 	1		56	NK	BEZPP	55	15,15	2	*
33	Sieber	Marek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Doubice 2010	4		22	NK	BEZPP	16	9,52	3	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	Sirovátka	Roman	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	2	Sdruž.nezáv.kand.-míst.celkem	1	NA	62	NK	BEZPP	11	55	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	Stejskalová	Božena	1994	1	Sdružení nezávislých kandidátù	1	58	NK	BEZPP	39	14.33	3	*	NA	1998	3	Sdruž.nezáv.kand.-míst.celkem	1	NA	62	NK	BEZPP	40	26.14	2	*	2006	1	Sdruž.nezáv.kand. Doubice 2006	1		66	NK	BEZPP	33	11.3	4	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	Šikýøová	Anna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	3	Sdruž.nez.kand.Doubice normál.	2		58	NK	BEZPP	32	13,16	2	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Vachalec	Tomáš	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	1	Sdruž.nezáv.kand. Doubice 2006	7	Ing. 	38	NK	BEZPP	31	10.36	7	*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	Vanìk	Václav	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006	4	Pro Doubici	6		41	NK	BEZPP	2	2,89	5	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	Zieglerová	Jana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1998	1	Sdruž.nezáv.kand.-míst.celkem	5	NA	27	NK	BEZPP	16	18.18	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
